"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"	"OCLC_Control_Number"
"Material Acts in Everyday Hindu Worlds"	"9781438480138; 9781438480114; 9781438480121"	"10.1353/book.112253"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63459/1/9781438480138.epub"	"Flueckiger, Joyce Burkhalter"	"20.500.12657/63459"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"State University of New York Press"	"monograph"	"2020"	"2023-06-19T10:11:16Z"	""	""	""	""	""	"F"	""
"Creating the Qur’an : A Historical-Critical Study (Edition 1)"	"9780520389038; 9780520389045"	"https://doi.org/10.1525/luminos.128"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/54672/1/external_content.epub"	"Shoemaker, Stephen J."	"20.500.12657/54672"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode"	"University of California Press"	"monograph"	"2022"	"2022-05-24T05:30:49Z"	""	""	""	""	""	"F"	""
"What Makes a Church Sacred? : Legal and Ritual Perspectives from Late Antiquity"	"9780520382015"	"https://doi.org/10.1525/luminos.112"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/50504/1/external_content.epub"	"Farag, Mary K."	"20.500.12657/50504"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode"	"University of California Press"	"monograph"	"2021"	"2021-08-24T05:31:25Z"	""	""	""	""	""	"F"	""
"The Presence of the Prophet in Early Modern and Contemporary Islam : Volume 1, The Prophet Between Doctrine, Literature and Arts: Historical Legacies and Their Unfolding"	"9789004466739; 9789004466739; 9789004466722"	"10.1163/9789004466739"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/52531/1/9789004466739.pdf"	""	"20.500.12657/52531"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Brill"	"monograph"	"2022"	"2022-01-21T16:26:33Z"	"159/1"	""	"Gril, Denis"	""	""	"F"	""
"Democratic Criticism : Poetics of Incitement and the Muslim Sacred"	"9781643150468; 9781643150451"	"10.3998/mpub.12682261"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61371/1/9781643150468.epub"	"Raja, Masood Ashraf"	"20.500.12657/61371"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc/4.0/"	"Lever Press"	"monograph"	"2023"	"2023-02-17T14:15:07Z"	""	""	""	""	""	"F"	""
"Ḥadīth and Ethics through the Lens of Interdisciplinarity : الحديث والأخلاق: مقاربة متعددة التخصصات"	"9789004525931; 9789004525931; 9789004525924"	"10.1163/9789004525931"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76096/1/9789004525931.pdf"	""	"20.500.12657/76096"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc/4.0"	"Brill"	"monograph"	"2022"	"2023-09-01T13:12:15Z"	""	""	"al-Khatib, Mutaz"	""	""	"F"	""
"Insistent Life : Principles for Bioethics in the Jain Tradition"	"9780520380578"	"https://doi.org/10.1525/luminos.108"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/50148/1/external_content.epub"	"Donaldson, Brianne"	"20.500.12657/50148"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode"	"University of California Press"	"monograph"	"2021"	"2021-07-20T03:30:29Z"	""	""	""	""	""	"F"	""
"Palimpsests of Themselves : Logic and Commentary in Postclassical Muslim South Asia"	"9780520975767"	"https://doi.org/10.1525/luminos.127"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/54706/1/external_content.epub"	"Ahmed, Asad Q."	"20.500.12657/54706"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode"	"University of California Press"	"monograph"	"2022"	"2022-05-26T05:31:01Z"	""	""	""	""	""	"F"	""
"Interpreting and Living God's Law at Qumran : Migsat Ma'ase Ha-Torah, Some of the Works of the Torah"	"9783161597060; 9783161553059"	"10.1628/978-3-16-159706-0"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63320/1/external_content.pdf"	""	"20.500.12657/63320"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	""	"monograph"	"2020"	"2023-06-07T05:40:22Z"	""	""	"Kratz, Reinhard Gregor"	""	""	"F"	""
"Gerechter Frieden : Im Spannungsfeld zwischen ziviler Konfliktbearbeitung und rechtserhaltender Gewalt"	"9783658343668; 9783658343668"	"10.1007/978-3-658-34366-8"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/50056/1/978-3-658-34366-8.pdf"	"Werkner, Ines-Jacqueline"	"20.500.12657/50056"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2021"	"2021-07-14T09:59:02Z"	""	""	""	""	""	"F"	""
