"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"	"OCLC_Control_Number"
"Agricultural Implications of Fukushima Nuclear Accident (IV) : After 10 Years"	"9789811993619; 9789811993619; 9789811993602"	"10.1007/978-981-19-9361-9"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76264/1/978-981-19-9361-9.pdf"	""	"20.500.12657/76264"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-09-13T19:47:46Z"	""	""	"Nakanishi, Tomoko M."	""	""	"F"	""
"Rangeland Wildlife Ecology and Conservation"	"9783031340376; 9783031340376; 9783031340369"	"10.1007/978-3-031-34037-6"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76235/1/978-3-031-34037-6.pdf"	""	"20.500.12657/76235"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-09-13T19:46:27Z"	""	""	"McNew, Lance B."	""	""	"F"	""
"Poro-Elastic Theory with Applications to Transport in Porous Media"	"9781000871531; 9781000871531; 9781032311920; 9781032311913; 9781003308539"	"10.1201/9781003308539"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76033/1/9781000871531.pdf"	"Jeng, Dong-Sheng"	"20.500.12657/76033"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0"	"Taylor & Francis"	"monograph"	"2023"	"2023-08-31T10:27:49Z"	""	""	""	""	""	"F"	""
"Changing Cultures : European Perspectives on the History of Portland Cement and Reinforced Concrete, 19th and 20th Centuries"	"9781000937855; 9781032437354; 9781032437385; 9781003368656"	"10.1201/9781003368656"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/75913/1/9781000937855.pdf"	""	"20.500.12657/75913"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-08-30T11:58:47Z"	""	""	"Mascarenhas Mateus, João"	""	""	"F"	""
"Smart Geotechnics for Smart Societies : Proceedings of the 17th Asian Regional Conference on Soil Mechanics and Geotechnical Engineering (17th ARC, Astana, Kazakhstan, 14-18 August, 2023)"	"9781000992533; 9781000992533; 9781003299127"	"10.1201/9781003299127"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76031/1/9781000992533.pdf"	""	"20.500.12657/76031"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc/4.0"	"Taylor & Francis"	"monograph"	"2023"	"2023-08-31T10:27:40Z"	""	""	"Zhussupbekov, Askar"	""	""	"F"	""
"Honorary Doctorate Dr. Katalin Karikó : 20th of October 2022"	"9789493296008; 9789493296008"	"10.54195/BNYC2439"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61694/1/honorary-doctorate-dr-katalin-kariko.pdf"	"Karikó, Katalin"	"20.500.12657/61694"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Radboud University Press"	"monograph"	"2023"	"2023-03-14T13:31:25Z"	""	""	""	""	""	"F"	""
"Innovative micro-NMR/MRI functionality utilizing flexible electronics and control systems"	"9783731511762"	"10.5445/KSP/1000143838"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/75889/1/innovative-micro-nmrmri-functionality-utilizing-flexible-electronics-and-control-systems.pdf"	"Nassar, Omar"	"20.500.12657/75889"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-sa/4.0/"	"KIT Scientific Publishing"	"monograph"	"2023"	"2023-08-29T07:47:47Z"	"46"	""	""	""	""	"F"	""
"Life-Cycle of Structures and Infrastructure Systems : PROCEEDINGS OF THE EIGHTH INTERNATIONAL SYMPOSIUM ON LIFE-CYCLE CIVIL ENGINEERING (IALCCE 2023), 2-6 JULY, 2023, POLITECNICO DI MILANO, MILAN, ITALY"	"9781000997279; 9781000997279; 9781032346113; 9781032346106; 9781003323020"	"10.1201/9781003323020"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76034/1/9781000997279.pdf"	""	"20.500.12657/76034"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc/4.0"	"Taylor & Francis"	"monograph"	"2023"	"2023-08-31T10:27:53Z"	""	""	"Biondini, Fabio"	""	""	"F"	""
"Technical Communication for Environmental Action"	"9781438491301; 9781438491295"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63367/1/external_content.epub"	"Williams, Sean D."	"20.500.12657/63367"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	""	"monograph"	"2023"	"2023-06-07T05:45:46Z"	""	""	""	""	""	"F"	""
"Brain and Human Body Modelling 2021 : Selected papers presented at 2021 BHBM Conference at Athinoula A. Martinos Center for Biomedical Imaging, Massachusetts General Hospital"	"9783031154515; 9783031154515"	"10.1007/978-3-031-15451-5"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60169/1/978-3-031-15451-5.pdf"	""	"20.500.12657/60169"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-12-13T12:37:37Z"	""	""	"Makarov, Sergey"	""	""	"F"	""
