Veldnaam                                 Opnemen?  Index?    # voorkomens   Bijzonderheden                                                               
id                                       Ja        Ja        1…1            DSpace intern veld                                                           
collection                               Ja        Nee       -              DSpace intern veld                                                           
BITSTREAM Download URL                   Ja        Nee       -              
BITSTREAM ISBN                           Ja        Ja        0…1            
BITSTREAM License                        Ja        Ja        0…1            
BITSTREAM Webshop URL                    Ja        Nee       -              
dc.contributor.advisor                   Nee       -         -              
dc.contributor.author                    Ja        Ja        0…n            
dc.contributor.editor                    Ja        Ja        0…n            
dc.contributor.illustrator               Nee       -         -              
dc.contributor.other                     Ja        Nee       -              
dc.date.accessioned                      Ja        Ja        1…n            
dc.date.available                        Ja        Ja        1…1            
dc.date.issued                           Ja        Ja        0…1            
dc.description                           Ja        Nee       -              
dc.description.abstract                  Ja        Nee       -              
dc.description.provenance                Ja        Nee       -              
dc.description.version                   Nee       -         -              
dc.identifier.                           Ja        Ja        0…n            
dc.identifier.isbn                       Ja        Ja        0…n            
dc.identifier.issn                       Ja        Nee       -              
dc.identifier.uri                        Ja        Ja        0…1            
dc.identifier.urlwebshop                 Nee       -         -              
dc.language                              Ja        Ja        0…n            
dc.relation.isnodouble                   Nee       -         -              
dc.relation.ispartofseries               Ja        Nee       -              
dc.relation.isreplacedbydouble           Nee       -         -              
dc.rightsuri                             Nee       -         -              
dc.source                                Nee       -         -              
dc.subject.classification                Ja        Ja        0…n            Gebaseerd op de BIC classificatie                                            
dc.subject.other                         Ja        Ja        0…n            Ongecontroleerde trefwoorden                                                 
dc.title                                 Ja        Ja        0…1            
dc.titlealternative                      Ja        Nee       -              
dc.type                                  Ja        Ja        0…1            
dc.terms.abstract                        Ja        Nee       -              
epersonfirstname                         Nee       -         -              
epersonlanguage                          Nee       -         -              
epersonlastname                          Nee       -         -              
epersonphone                             Nee       -         -              
grantoracronym                           Nee       -         -              
grantordoi                               Nee       -         -              
grantorjurisdiction                      Nee       -         -              
grantorname                              Ja        Ja        0…n            
grantornumber                            Ja        Ja        0…n            
oapen.abstractotherlanguage              Ja        Nee       -              
oapen.autodoi                            Nee       -         -              
oapen.chapternumber                      Ja        Nee       -              
oapen.collection                         Ja        Ja        0…n            
oapen.description.otherlanguage          Ja        Nee       -              
oapen.embargo                            Ja        Ja        0…1            
oapen.grant.acronym                      Ja        Ja        0…n            
oapen.grant.number                       Ja        Ja        0…n            
oapen.grant.program                      Ja        Ja        0…n            
oapen.grant.project                      Ja        Ja        0…n            
oapen.identifier                         Ja        Ja        0…n            
oapen.identifier.doi                     Ja        Ja        0…1            
oapen.identifier.isbn                    Ja        Ja        0…n            
oapen.identifier.ocn                     Ja        Ja        0…1            
oapen.imprint                            Ja        Nee       -              
oapen.notes                              Nee       -         -              
oapen.pages                              Ja        Nee       -              
oapen.placepublication                   Ja        Nee       -              
oapen.redirect                           Nee       -         -              
oapen.relation.funds                     Nee       -         -              
oapen.relation.hasChapter                Ja        Ja        0…n            Is een ID - zie de API handleiding (https://oapen.org/librarians/15635975-met
oapen.relation.hasChapter_dc.title       Ja        Ja        0…n            
oapen.relation.isFundedBy                Ja        Ja        0…n            Is een ID - zie de API handleiding (https://oapen.org/librarians/15635975-met
oapen.relation.isFundedBy_grantorname    Ja        Ja        0…n            
oapen.relation.isPartOfBook              Ja        Ja        0…1            Is een ID - zie de API handleiding (https://oapen.org/librarians/15635975-met
oapen.relation.isPartOfBook_dc.title     Ja        Ja        0…1            
oapen.relation.isPublishedBy             Ja        Ja        0…1            Is een ID - zie de API handleiding (https://oapen.org/librarians/15635975-met
oapen.relation.isPublishedBy_publishernamJa        Ja        0…1            
oapen.relation.isPublisherOf             Ja        Ja        0…n            Is een ID - zie de API handleiding (https://oapen.org/librarians/15635975-met
oapen.relation.isbn                      Ja        Ja        0…n            
oapen.remarkprivate                      Nee       -         -              
oapen.remarkpublic                       Nee       -         -              
oapen.seriesnumber                       Ja        Nee       -              
publisher.country                        Nee       -         -              
publisher.name                           Nee       -         -              
publisher.oalicense                      Nee       -         -              
publisher.peerreviewpolicy               Nee       -         -              
publisher.website                        Nee       -         -              
